// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 3 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:12 (12 sec)   *****
// Found 3 benchmarks:
//   DynamicCallFieldTest.Origin: Job-CRZEKH(Runtime=Core, Toolchain=netcoreapp2.0, UnrollFactor=64)
//   DynamicCallFieldTest.Origin: Job-PEYBSU(Runtime=Core, Toolchain=netcoreapp2.1, UnrollFactor=64)
//   DynamicCallFieldTest.Origin: Job-BGTYRW(Runtime=Core, Toolchain=netcoreapp2.2, UnrollFactor=64)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: 高性能)// **************************
// Benchmark: DynamicCallFieldTest.Origin: Job-CRZEKH(Runtime=Core, Toolchain=netcoreapp2.0, UnrollFactor=64)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "eef1315b-f324-4bb4-af22-6ce6bc6ebc7c.dll" --benchmarkName "NatashaBenchmark.DynamicCallFieldTest.OriginFieldGetTimeTest" --job "Runtime=Core, Toolchain=netcoreapp2.0, UnrollFactor=64" --benchmarkId 0 in I:\VsGit\Natasha\NatashaBenchmark\bin\Release\netcoreapp2.2\eef1315b-f324-4bb4-af22-6ce6bc6ebc7c\bin\Release\netcoreapp2.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-NNVNPD(Runtime=Core, UnrollFactor=64)

OverheadJitting  1: 64 op, 1208491.44 ns, 18.8827 us/op
WorkloadJitting  1: 64 op, 1245627.17 ns, 19.4629 us/op

WorkloadPilot    1: 64 op, 30024.63 ns, 469.1349 ns/op
WorkloadPilot    2: 128 op, 54913.47 ns, 429.0115 ns/op
WorkloadPilot    3: 256 op, 108246.70 ns, 422.8387 ns/op
WorkloadPilot    4: 512 op, 215308.22 ns, 420.5239 ns/op
WorkloadPilot    5: 1024 op, 445233.69 ns, 434.7985 ns/op
WorkloadPilot    6: 2048 op, 897183.41 ns, 438.0778 ns/op
WorkloadPilot    7: 4096 op, 1756045.91 ns, 428.7221 ns/op
WorkloadPilot    8: 8192 op, 4078609.23 ns, 497.8771 ns/op
WorkloadPilot    9: 16384 op, 7009961.46 ns, 427.8541 ns/op
WorkloadPilot   10: 32768 op, 14254589.13 ns, 435.0155 ns/op
WorkloadPilot   11: 65536 op, 28626116.29 ns, 436.7999 ns/op
WorkloadPilot   12: 131072 op, 56255888.88 ns, 429.1984 ns/op
WorkloadPilot   13: 262144 op, 128112734.59 ns, 488.7113 ns/op
WorkloadPilot   14: 524288 op, 248882471.34 ns, 474.7056 ns/op
WorkloadPilot   15: 1048576 op, 470919366.09 ns, 449.1037 ns/op
WorkloadPilot   16: 2097152 op, 930936235.19 ns, 443.9050 ns/op

OverheadWarmup   1: 2097152 op, 5068631.96 ns, 2.4169 ns/op
OverheadWarmup   2: 2097152 op, 4856484.23 ns, 2.3158 ns/op
OverheadWarmup   3: 2097152 op, 4871101.49 ns, 2.3227 ns/op
