// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 4 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:09 (9.83 sec)   *****
// Found 4 benchmarks:
//   DynamicCallFieldTest.Origin: Job-JEIRTG(Runtime=Core, Toolchain=netcoreapp2.0)
//   DynamicCallFieldTest.Origin: Job-ZZWUHG(Runtime=Core, Toolchain=netcoreapp2.1)
//   DynamicCallFieldTest.Origin: Job-CJGXKD(Runtime=Core, Toolchain=netcoreapp2.2)
//   DynamicCallFieldTest.Origin: Core(Runtime=Core)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: 高性能)// **************************
// Benchmark: DynamicCallFieldTest.Origin: Job-JEIRTG(Runtime=Core, Toolchain=netcoreapp2.0)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "4780a247-c1f3-4696-86a5-75960e16887f.dll" --benchmarkName "NatashaBenchmark.DynamicCallFieldTest.OriginFieldGetTimeTest" --job "Runtime=Core, Toolchain=netcoreapp2.0" --benchmarkId 0 in I:\VsGit\Natasha\NatashaBenchmark\bin\Release\netcoreapp2.0\4780a247-c1f3-4696-86a5-75960e16887f\bin\Release\netcoreapp2.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-QROKCX(Runtime=Core)

OverheadJitting  1: 1 op, 369777.19 ns, 369.7772 us/op
WorkloadJitting  1: 1 op, 231110.75 ns, 231.1107 us/op

OverheadJitting  2: 16 op, 364641.40 ns, 22.7901 us/op
WorkloadJitting  2: 16 op, 357135.24 ns, 22.3210 us/op

WorkloadPilot    1: 16 op, 1975.31 ns, 123.4566 ns/op
WorkloadPilot    2: 32 op, 395.06 ns, 12.3457 ns/op
WorkloadPilot    3: 64 op, 395.06 ns, 6.1728 ns/op
WorkloadPilot    4: 128 op, 790.12 ns, 6.1728 ns/op
WorkloadPilot    5: 256 op, 1185.18 ns, 4.6296 ns/op
WorkloadPilot    6: 512 op, 1185.18 ns, 2.3148 ns/op
WorkloadPilot    7: 1024 op, 2370.37 ns, 2.3148 ns/op
WorkloadPilot    8: 2048 op, 4345.67 ns, 2.1219 ns/op
WorkloadPilot    9: 4096 op, 7901.22 ns, 1.9290 ns/op
WorkloadPilot   10: 8192 op, 15407.38 ns, 1.8808 ns/op
WorkloadPilot   11: 16384 op, 29234.52 ns, 1.7843 ns/op
WorkloadPilot   12: 32768 op, 154073.83 ns, 4.7020 ns/op
WorkloadPilot   13: 65536 op, 125629.43 ns, 1.9170 ns/op
WorkloadPilot   14: 131072 op, 241777.40 ns, 1.8446 ns/op
WorkloadPilot   15: 262144 op, 482764.67 ns, 1.8416 ns/op
WorkloadPilot   16: 524288 op, 1231405.46 ns, 2.3487 ns/op
WorkloadPilot   17: 1048576 op, 1941330.27 ns, 1.8514 ns/op
WorkloadPilot   18: 2097152 op, 4338165.98 ns, 2.0686 ns/op
WorkloadPilot   19: 4194304 op, 7975493.57 ns, 1.9015 ns/op
WorkloadPilot   20: 8388608 op, 16821701.81 ns, 2.0053 ns/op
WorkloadPilot   21: 16777216 op, 33907304.44 ns, 2.0210 ns/op
WorkloadPilot   22: 33554432 op, 67747448.50 ns, 2.0190 ns/op
WorkloadPilot   23: 67108864 op, 133401468.21 ns, 1.9878 ns/op
WorkloadPilot   24: 134217728 op, 266836121.54 ns, 1.9881 ns/op
WorkloadPilot   25: 268435456 op, 527318080.29 ns, 1.9644 ns/op

OverheadWarmup   1: 268435456 op, 514862988.86 ns, 1.9180 ns/op
OverheadWarmup   2: 268435456 op, 516451924.62 ns, 1.9239 ns/op
OverheadWarmup   3: 268435456 op, 512912177.13 ns, 1.9107 ns/op
OverheadWarmup   4: 268435456 op, 513119584.21 ns, 1.9115 ns/op
OverheadWarmup   5: 268435456 op, 513176077.94 ns, 1.9117 ns/op
OverheadWarmup   6: 268435456 op, 517313947.95 ns, 1.9271 ns/op
OverheadWarmup   7: 268435456 op, 512126795.65 ns, 1.9078 ns/op

OverheadActual   1: 268435456 op, 513897459.52 ns, 1.9144 ns/op
OverheadActual   2: 268435456 op, 511380525.23 ns, 1.9050 ns/op
OverheadActual   3: 268435456 op, 514612520.12 ns, 1.9171 ns/op
OverheadActual   4: 268435456 op, 511369068.45 ns, 1.9050 ns/op
OverheadActual   5: 268435456 op, 515820616.97 ns, 1.9216 ns/op
OverheadActual   6: 268435456 op, 502303206.24 ns, 1.8712 ns/op
OverheadActual   7: 268435456 op, 514663483.00 ns, 1.9173 ns/op
OverheadActual   8: 268435456 op, 511431883.17 ns, 1.9052 ns/op
OverheadActual   9: 268435456 op, 509790404.28 ns, 1.8991 ns/op
OverheadActual  10: 268435456 op, 562438222.32 ns, 2.0952 ns/op
OverheadActual  11: 268435456 op, 502171650.89 ns, 1.8707 ns/op
OverheadActual  12: 268435456 op, 519201944.96 ns, 1.9342 ns/op
OverheadActual  13: 268435456 op, 507574111.49 ns, 1.8909 ns/op
OverheadActual  14: 268435456 op, 511286895.74 ns, 1.9047 ns/op
OverheadActual  15: 268435456 op, 505957521.45 ns, 1.8848 ns/op

WorkloadWarmup   1: 268435456 op, 523680357.64 ns, 1.9509 ns/op
WorkloadWarmup   2: 268435456 op, 523698530.45 ns, 1.9509 ns/op
WorkloadWarmup   3: 268435456 op, 522009644.23 ns, 1.9446 ns/op
WorkloadWarmup   4: 268435456 op, 518588020.01 ns, 1.9319 ns/op
WorkloadWarmup   5: 268435456 op, 523691024.29 ns, 1.9509 ns/op
WorkloadWarmup   6: 268435456 op, 521469990.76 ns, 1.9426 ns/op

// BeforeActualRun
WorkloadActual   1: 268435456 op, 534968438.57 ns, 1.9929 ns/op
WorkloadActual   2: 268435456 op, 537082410.54 ns, 2.0008 ns/op
WorkloadActual   3: 268435456 op, 532318763.74 ns, 1.9830 ns/op
WorkloadActual   4: 268435456 op, 540845367.55 ns, 2.0148 ns/op
WorkloadActual   5: 268435456 op, 520886485.51 ns, 1.9405 ns/op
WorkloadActual   6: 268435456 op, 528606374.55 ns, 1.9692 ns/op
WorkloadActual   7: 268435456 op, 551311721.38 ns, 2.0538 ns/op
WorkloadActual   8: 268435456 op, 549098194.02 ns, 2.0456 ns/op
WorkloadActual   9: 268435456 op, 538873222.52 ns, 2.0075 ns/op
WorkloadActual  10: 268435456 op, 534326859.34 ns, 1.9905 ns/op
WorkloadActual  11: 268435456 op, 536660880.34 ns, 1.9992 ns/op
WorkloadActual  12: 268435456 op, 524481146.50 ns, 1.9538 ns/op
WorkloadActual  13: 268435456 op, 528166276.48 ns, 1.9676 ns/op
WorkloadActual  14: 268435456 op, 526300402.88 ns, 1.9606 ns/op
WorkloadActual  15: 268435456 op, 530897728.95 ns, 1.9777 ns/op

// AfterActualRun
WorkloadResult   1: 268435456 op, 23587913.34 ns, 0.0879 ns/op
WorkloadResult   2: 268435456 op, 25701885.31 ns, 0.0957 ns/op
WorkloadResult   3: 268435456 op, 20938238.52 ns, 0.0780 ns/op
WorkloadResult   4: 268435456 op, 29464842.33 ns, 0.1098 ns/op
WorkloadResult   5: 268435456 op, 9505960.29 ns, 0.0354 ns/op
WorkloadResult   6: 268435456 op, 17225849.32 ns, 0.0642 ns/op
WorkloadResult   7: 268435456 op, 39931196.16 ns, 0.1488 ns/op
WorkloadResult   8: 268435456 op, 37717668.79 ns, 0.1405 ns/op
WorkloadResult   9: 268435456 op, 27492697.30 ns, 0.1024 ns/op
WorkloadResult  10: 268435456 op, 22946334.11 ns, 0.0855 ns/op
WorkloadResult  11: 268435456 op, 25280355.11 ns, 0.0942 ns/op
WorkloadResult  12: 268435456 op, 13100621.27 ns, 0.0488 ns/op
WorkloadResult  13: 268435456 op, 16785751.25 ns, 0.0625 ns/op
WorkloadResult  14: 268435456 op, 14919877.66 ns, 0.0556 ns/op
WorkloadResult  15: 268435456 op, 19517203.73 ns, 0.0727 ns/op
GC:  0 0 0 0 268435456

// AfterAll

Mean = 0.0855 ns, StdErr = 0.0082 ns (9.57%); N = 15, StdDev = 0.0317 ns
Min = 0.0354 ns, Q1 = 0.0625 ns, Median = 0.0855 ns, Q3 = 0.1024 ns, Max = 0.1488 ns
IQR = 0.0399 ns, LowerFence = 0.0027 ns, UpperFence = 0.1622 ns
ConfidenceInterval = [0.0516 ns; 0.1193 ns] (CI 99.9%), Margin = 0.0339 ns (39.62% of Mean)
Skewness = 0.45, Kurtosis = 2.32, MValue = 2.67

// **************************
// Benchmark: DynamicCallFieldTest.Origin: Job-ZZWUHG(Runtime=Core, Toolchain=netcoreapp2.1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "335cf323-1721-4095-b2e1-e81fa4ae742e.dll" --benchmarkName "NatashaBenchmark.DynamicCallFieldTest.OriginFieldGetTimeTest" --job "Runtime=Core, Toolchain=netcoreapp2.1" --benchmarkId 0 in I:\VsGit\Natasha\NatashaBenchmark\bin\Release\netcoreapp2.0\335cf323-1721-4095-b2e1-e81fa4ae742e\bin\Release\netcoreapp2.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.11 (CoreCLR 4.6.27617.04, CoreFX 4.6.27617.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-PTZJMP(Runtime=Core)

OverheadJitting  1: 1 op, 351604.38 ns, 351.6044 us/op
WorkloadJitting  1: 1 op, 282863.75 ns, 282.8638 us/op

OverheadJitting  2: 16 op, 304197.05 ns, 19.0123 us/op
WorkloadJitting  2: 16 op, 331456.27 ns, 20.7160 us/op

WorkloadPilot    1: 16 op, 2765.43 ns, 172.8392 ns/op
WorkloadPilot    2: 32 op, 790.12 ns, 24.6913 ns/op
WorkloadPilot    3: 64 op, 395.06 ns, 6.1728 ns/op
WorkloadPilot    4: 128 op, 1185.18 ns, 9.2592 ns/op
WorkloadPilot    5: 256 op, 790.12 ns, 3.0864 ns/op
WorkloadPilot    6: 512 op, 1580.24 ns, 3.0864 ns/op
WorkloadPilot    7: 1024 op, 2370.37 ns, 2.3148 ns/op
