// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 3 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:10 (10.15 sec)   *****
// Found 3 benchmarks:
//   DynamicCallFieldTest.Origin: Job-CVNYSV(Runtime=Core, Toolchain=netcoreapp2.0)
//   DynamicCallFieldTest.Origin: Job-KEAMEE(Runtime=Core, Toolchain=netcoreapp2.1)
//   DynamicCallFieldTest.Origin: Job-AGDKPR(Runtime=Core, Toolchain=netcoreapp2.2)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: 高性能)// **************************
// Benchmark: DynamicCallFieldTest.Origin: Job-CVNYSV(Runtime=Core, Toolchain=netcoreapp2.0)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "528d0a0a-3566-4559-af70-27de5ac0d787.dll" --benchmarkName "NatashaBenchmark.DynamicCallFieldTest.OriginFieldGetTimeTest" --job "Runtime=Core, Toolchain=netcoreapp2.0" --benchmarkId 0 in I:\VsGit\Natasha\NatashaBenchmark\bin\Release\netcoreapp2.2\528d0a0a-3566-4559-af70-27de5ac0d787\bin\Release\netcoreapp2.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-ONFEHC(Runtime=Core)

OverheadJitting  1: 1 op, 481974.55 ns, 481.9745 us/op
WorkloadJitting  1: 1 op, 336197.00 ns, 336.1970 us/op

OverheadJitting  2: 16 op, 454715.33 ns, 28.4197 us/op
WorkloadJitting  2: 16 op, 444443.74 ns, 27.7777 us/op

WorkloadPilot    1: 16 op, 3950.61 ns, 246.9132 ns/op
WorkloadPilot    2: 32 op, 790.12 ns, 24.6913 ns/op
WorkloadPilot    3: 64 op, 1185.18 ns, 18.5185 ns/op
WorkloadPilot    4: 128 op, 1185.18 ns, 9.2592 ns/op
WorkloadPilot    5: 256 op, 1185.18 ns, 4.6296 ns/op
WorkloadPilot    6: 512 op, 1975.31 ns, 3.8580 ns/op
WorkloadPilot    7: 1024 op, 3555.55 ns, 3.4722 ns/op
WorkloadPilot    8: 2048 op, 5530.86 ns, 2.7006 ns/op
WorkloadPilot    9: 4096 op, 12641.96 ns, 3.0864 ns/op
WorkloadPilot   10: 8192 op, 20148.12 ns, 2.4595 ns/op
WorkloadPilot   11: 16384 op, 39111.05 ns, 2.3871 ns/op
WorkloadPilot   12: 32768 op, 77827.04 ns, 2.3751 ns/op
WorkloadPilot   13: 65536 op, 154863.95 ns, 2.3630 ns/op
WorkloadPilot   14: 131072 op, 306567.42 ns, 2.3389 ns/op
WorkloadPilot   15: 262144 op, 611159.53 ns, 2.3314 ns/op
WorkloadPilot   16: 524288 op, 1251158.52 ns, 2.3864 ns/op
WorkloadPilot   17: 1048576 op, 2493625.69 ns, 2.3781 ns/op
WorkloadPilot   18: 2097152 op, 5007794.56 ns, 2.3879 ns/op
WorkloadPilot   19: 4194304 op, 9918404.08 ns, 2.3647 ns/op
WorkloadPilot   20: 8388608 op, 19815869.92 ns, 2.3622 ns/op
